Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.4532274390418333,12.883647144946897,0.6611328125,347,2236,119,508,36,234,10,89,0,0,0,0
0.24517519702572593,13.798093941436184,0.9453125,56,302,35,146,7,47,0,0,0,0,0,0
0.5840053386567562,6.8700951099916185,0.2861328125,731,5062,206,1062,91,623,21,164,0,0,0,0
0.31191109643854925,10.502364653186453,0.82421875,180,1126,90,414,22,165,2,27,0,0,0,0
0.5988049644548976,10.116429525120035,0.3095703125,707,4934,143,660,64,386,19,157,3,26,0,0
0.26574024230442794,10.680348818387168,0.9150390625,87,460,60,254,9,63,0,0,0,0,0,0
0.3746134227486383,5.297895571436955,0.8134765625,191,912,128,488,21,111,0,0,0,0,0,0
0.6557985297529438,6.175337891322147,0.1875,832,5872,187,934,87,574,28,237,1,6,0,0
0.20277537694954692,7.087786329863201,0.9326171875,69,302,57,222,4,20,0,0,0,0,0,0
0.3871282585294117,7.107065375435098,0.7451171875,261,1476,159,694,34,247,0,0,0,0,0,0
0.4282817282076299,10.117761840144956,0.6904296875,317,2020,146,708,49,354,2,17,0,0,0,0
0.7716653887306015,14.083838724948262,0.111328125,910,6720,85,416,51,303,24,149,8,50,0,0
0.5663577163736557,14.662982579305888,0.44921875,564,3880,132,592,56,335,10,90,3,30,0,0
0.7710937268553937,10.26496747520083,0.0693359375,953,7076,77,368,32,203,21,144,7,45,1,11
0.7368870030379557,10.93869164827428,0.154296875,866,6310,113,532,55,339,21,160,7,48,0,0
0.4150314002627122,13.50735862690657,0.646484375,362,2480,92,404,30,201,7,70,2,29,0,0
0.41717260900465325,11.980122915680463,0.6787109375,329,2084,116,528,47,277,6,40,0,0,0,0
0.6732300223383846,7.549478497420066,0.1416015625,879,6384,138,684,67,422,25,194,5,49,0,0
0.6431020614797511,11.66244165812113,0.255859375,762,5514,144,730,66,439,23,183,3,23,0,0
0.4273174617801779,9.292221986378022,0.7783203125,227,1354,95,390,28,171,4,31,0,0,0,0
0.5009983508510596,9.201796709916657,0.4814453125,531,3522,186,894,71,474,11,89,0,0,0,0
0.6858276999585171,5.437191102713871,0.1435546875,877,6246,178,850,77,494,23,199,4,40,0,0
0.463850282350546,14.328967596491719,0.4072265625,607,4366,157,814,62,463,22,211,0,0,0,0
0.48869972663609534,14.381234187365914,0.404296875,610,4310,148,700,58,392,20,176,1,13,0,0
0.7067779699799555,7.928791197206738,0.072265625,950,7040,89,448,51,318,23,175,9,77,0,0
0.20576038303871413,5.396957804113929,0.9453125,56,210,50,166,2,12,0,0,0,0,0,0
0.35784637480229053,14.272063189564886,0.869140625,134,892,50,232,16,112,3,31,0,0,0,0
0.7840865076800279,10.352285044523322,0.0322265625,991,7460,52,252,25,148,8,60,8,60,2,11
