,,,,,0.155229957,,,,,,,,,,
Threshold,Resolution,Obstacle %,,3539.951662,549.5065458,291.0684794,92.93454179,15.4612286,,,,,,,
0.4445985,9.32337192,0.661132813,66.11328125,2302,670,329,67,0,0,0.29105126,29.10512598,0.142919201,0.029105126,0,0
0.516623851,10.4963247,0.431640625,43.1640625,4000,680,423,160,0,0,0.17,17,0.10575,0.04,0,0
0.630769435,13.19171145,0.147460938,14.74609375,6438,672,476,242,27,0,0.104380242,10.43802423,0.073936005,0.037589313,0.004193849,0
0.690739791,13.47325861,0.188476563,18.84765625,5996,534,321,156,41,0,0.089059373,8.905937292,0.05353569,0.026017345,0.006837892,0
0.366471526,12.5022146,0.764648438,76.46484375,1562,472,245,36,0,0,0.302176697,30.21766965,0.156850192,0.023047375,0,0
0.380710531,6.216301001,0.74609375,74.609375,1356,678,187,0,0,0,0.5,50,0.137905605,0,0,0
0.448283898,9.467922796,0.572265625,57.2265625,2868,822,430,76,0,0,0.286610879,28.66108787,0.149930265,0.026499303,0,0
0.512772313,6.524148179,0.486328125,48.6328125,3340,958,451,79,0,0,0.286826347,28.68263473,0.13502994,0.023652695,0,0
0.327223978,9.614765142,0.84765625,84.765625,928,370,140,12,0,0,0.398706897,39.87068966,0.150862069,0.012931034,0,0
0.239385417,9.237090022,0.891601563,89.16015625,660,278,118,0,0,0,0.421212121,42.12121212,0.178787879,0,0,0
0.379332619,9.214363385,0.806640625,80.6640625,1128,410,167,12,0,0,0.363475177,36.34751773,0.148049645,0.010638298,0,0
0.746387918,12.01518757,0.123046875,12.3046875,6568,476,280,156,52,0,0.072472594,7.24725944,0.042630938,0.023751523,0.007917174,0
0.793109072,11.36142708,0.081054688,8.10546875,7020,324,207,118,72,15,0.046153846,4.615384615,0.029487179,0.016809117,0.01025641,0.002136752
0.737477569,9.070720092,0.068359375,6.8359375,7100,386,283,166,41,8,0.054366197,5.436619718,0.039859155,0.023380282,0.005774648,0.001126761
0.593552713,13.98822883,0.337890625,33.7890625,4858,554,354,187,17,0,0.114038699,11.40386991,0.072869494,0.038493207,0.003499382,0
0.338396042,7.541778927,0.84765625,84.765625,846,438,125,0,0,0,0.517730496,51.77304965,0.147754137,0,0,0
0.661547191,11.23328727,0.170898438,17.08984375,6274,520,343,186,52,0,0.082881734,8.288173414,0.054670067,0.029646159,0.008288173,0
0.757024102,9.949468757,0.05078125,5.078125,7286,416,326,204,64,0,0.0570958,5.709580016,0.044743343,0.027998902,0.008783969,0
0.64398237,9.704223677,0.171875,17.1875,6140,902,577,228,14,0,0.146905537,14.69055375,0.093973941,0.03713355,0.00228013,0
0.20552644,8.433440608,0.951171875,95.1171875,246,150,32,0,0,0,0.609756098,60.97560976,0.130081301,0,0,0
0.373915764,10.84903323,0.76171875,76.171875,1498,522,233,18,0,0,0.348464619,34.84646195,0.155540721,0.012016021,0,0
0.408566318,7.908766464,0.693359375,69.3359375,1958,756,349,13,0,0,0.386108274,38.61082737,0.178243105,0.006639428,0,0
0.261904801,9.665334665,0.875976563,87.59765625,752,348,101,8,0,0,0.462765957,46.27659574,0.134308511,0.010638298,0,0
0.635127298,9.521201667,0.19140625,19.140625,5978,790,507,257,9,0,0.132151221,13.21512211,0.084810974,0.042990967,0.00150552,0
0.245691355,11.07155995,0.970703125,97.0703125,152,68,23,0,0,0,0.447368421,44.73684211,0.151315789,0,0,0
0.446560258,9.219688895,0.66796875,66.796875,2078,696,303,34,0,0,0.33493744,33.49374398,0.145813282,0.016361886,0,0
0.327029418,14.68112842,0.938476563,93.84765625,346,110,43,7,0,0,0.317919075,31.79190751,0.124277457,0.020231214,0,0
0.742928467,6.441894496,0.095703125,9.5703125,6752,602,387,165,61,0,0.089158768,8.915876777,0.057316351,0.024437204,0.00903436,0
0.255682205,9.911125379,0.9453125,94.53125,282,130,42,0,0,0,0.460992908,46.09929078,0.14893617,0,0,0
0.524182969,8.618660954,0.393554688,39.35546875,4186,986,501,146,0,0,0.235547062,23.55470616,0.119684663,0.034878165,0,0
0.352058766,7.64042469,0.853515625,85.3515625,808,370,130,0,0,0,0.457920792,45.79207921,0.160891089,0,0,0
0.460278277,11.44417194,0.646484375,64.6484375,2416,498,218,91,20,0,0.206125828,20.61258278,0.090231788,0.037665563,0.008278146,0
0.51661733,13.79758707,0.434570313,43.45703125,4134,554,306,131,35,0,0.134010643,13.40106434,0.074020319,0.031688437,0.008466376,0
0.626635508,13.71173784,0.241210938,24.12109375,5656,596,353,103,65,0,0.105374823,10.53748232,0.062411598,0.01821075,0.011492221,0
0.308676684,8.556346332,0.859375,85.9375,818,406,129,0,0,0,0.496332518,49.63325183,0.157701711,0,0,0
0.622927209,11.95845747,0.267578125,26.7578125,5288,566,352,128,42,0,0.107034796,10.70347958,0.066565809,0.024205749,0.007942511,0
0.252272954,8.361297095,0.90625,90.625,548,254,91,0,0,0,0.46350365,46.35036496,0.166058394,0,0,0
0.723184307,7.618362271,0.114257813,11.42578125,6594,684,428,149,62,0,0.103730664,10.37306642,0.064907492,0.0225963,0.009402487,0
0.395052753,10.80360531,0.758789063,75.87890625,1510,496,216,29,0,0,0.328476821,32.84768212,0.143046358,0.019205298,0,0
0.306331136,11.54799727,0.91796875,91.796875,428,172,45,8,0,0,0.401869159,40.18691589,0.105140187,0.018691589,0,0
0.341074704,10.50617249,0.784179688,78.41796875,1414,446,243,19,0,0,0.315417256,31.5417256,0.1718529,0.013437058,0,0
0.61350648,10.04251324,0.306640625,30.6640625,4972,814,478,163,19,0,0.163716814,16.37168142,0.096138375,0.032783588,0.0038214,0
0.426482696,9.349949547,0.579101563,57.91015625,2818,780,369,77,0,0,0.276792051,27.67920511,0.130943932,0.027324344,0,0
0.482250896,10.63098502,0.491210938,49.12109375,3568,660,338,126,9,0,0.184977578,18.49775785,0.094730942,0.035313901,0.002522422,0
0.658513504,7.525442856,0.176757813,17.67578125,6056,928,506,171,72,0,0.15323646,15.32364597,0.083553501,0.02823646,0.011889036,0
0.546874773,14.97009838,0.334960938,33.49609375,4852,486,308,122,52,0,0.10016488,10.01648805,0.063478978,0.02514427,0.01071723,0
