Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.5,10.1488298505203,0.5361328125,475,3198,145,646,54,360,14,133,0,0,0,0
0.5,5.153908690972319,0.5283203125,483,2808,258,1134,67,451,2,13,0,0,0,0
0.5,10.720354365626559,0.439453125,574,4018,154,744,64,432,15,145,1,11,0,0
0.5,7.528705262890193,0.46875,544,3528,208,964,72,493,10,103,0,0,0,0
0.5,8.251615324987043,0.5546875,456,3014,162,752,54,382,11,98,0,0,0,0
0.5,7.192052424224228,0.498046875,514,3308,223,1070,69,483,7,65,0,0,0,0
0.5,10.974312062366096,0.423828125,590,4042,164,790,66,446,15,122,1,13,0,0
0.5,9.730168948520276,0.568359375,442,2856,169,782,59,384,8,71,0,0,0,0
0.5,8.26312424898913,0.5859375,424,2590,199,898,59,404,4,36,0,0,0,0
0.5,6.121318364174341,0.4443359375,569,3692,263,1304,86,648,4,41,0,0,0,0
0.5,14.253025837234288,0.4794921875,533,3706,131,628,62,390,18,147,0,0,0,0
0.5,14.641684919459196,0.3974609375,617,4430,131,660,62,411,21,171,1,16,0,0
0.5,10.558837237745085,0.494140625,518,3520,152,736,62,424,11,96,1,10,0,0
0.5,5.069543611025394,0.4912109375,521,3026,287,1294,78,516,0,0,0,0,0,0
0.5,5.169647185843276,0.505859375,506,2954,275,1242,77,506,0,0,0,0,0,0
0.5,8.808171167909794,0.4931640625,519,3434,183,848,68,442,11,113,0,0,0,0
0.5,13.706202140481528,0.484375,528,3716,129,622,53,354,16,141,1,18,0,0
0.5,10.613580219671682,0.4462890625,567,3926,156,762,65,433,14,116,1,10,0,0
0.5,14.198531810847651,0.4716796875,541,3744,151,714,62,415,17,167,0,0,0,0
0.5,10.855472440965048,0.451171875,562,3850,154,720,64,419,18,158,0,0,0,0
0.5,5.743236075538352,0.552734375,458,2644,230,972,60,362,4,39,0,0,0,0
0.5,12.163047470081153,0.478515625,534,3722,150,712,52,361,11,109,2,28,0,0
0.5,14.734865170992501,0.58203125,428,2910,107,468,35,222,10,88,2,17,0,0
0.5,12.208778605773148,0.4697265625,543,3812,147,712,60,414,14,143,1,18,0,0
0.5,10.090937668914473,0.44921875,564,3854,174,838,70,480,15,142,0,0,0,0
0.5,6.327432584608181,0.4990234375,513,3212,255,1212,74,550,3,28,0,0,0,0
0.5,14.393672947233322,0.42578125,588,4146,150,762,70,463,19,159,0,0,0,0
0.5,7.107563428247586,0.4931640625,519,3354,207,976,72,488,8,79,0,0,0,0
0.5,13.835475083934162,0.3857421875,629,4552,122,612,61,402,19,162,2,30,0,0
0.5,10.49268525342523,0.5302734375,481,3278,148,710,59,404,13,115,0,0,0,0
0.5,5.75385571236491,0.4853515625,527,3216,248,1150,85,558,2,16,0,0,0,0
0.5,11.358498121496122,0.619140625,390,2636,105,446,39,248,10,89,1,13,0,0
0.5,9.295045450410623,0.4169921875,597,4074,189,920,68,480,17,151,0,0,0,0
0.5,11.986884271594214,0.5439453125,467,3178,143,676,48,339,15,130,0,0,0,0
