Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.2,10.595618066199025,0.9873046875,13,42,13,42,0,0,0,0,0,0,0,0
0.30000000000000004,8.815606414574685,0.8447265625,159,930,90,412,23,161,0,0,0,0,0,0
0.4,9.580734888448806,0.74609375,260,1574,113,478,33,206,4,40,0,0,0,0
0.5,5.514587307373846,0.50390625,508,3050,223,962,67,426,7,48,0,0,0,0
0.6000000000000001,10.232708739284602,0.2958984375,721,4918,202,976,85,542,18,143,1,12,0,0
0.7,10.112848881467558,0.1357421875,885,6508,117,592,56,359,26,185,6,46,0,0
0.8,13.010742933381202,0.0400390625,983,7406,65,340,42,248,18,120,8,58,1,8
0.2,7.280662098477297,0.931640625,70,306,55,216,5,18,0,0,0,0,0,0
0.30000000000000004,7.709366208929078,0.8994140625,103,528,73,304,10,72,0,0,0,0,0,0
0.4,5.810393197539202,0.7099609375,297,1570,192,786,35,235,0,0,0,0,0,0
0.5,9.656904820056173,0.5068359375,505,3368,166,754,57,378,14,129,0,0,0,0
0.6000000000000001,14.653262924129551,0.30078125,716,5152,119,588,55,350,24,175,3,20,0,0
0.7,6.763995867471292,0.15625,864,6200,156,790,80,515,31,238,2,23,0,0
0.8,11.800950716955505,0.01953125,1004,7604,32,168,24,137,15,82,3,15,3,15
0.2,12.915899067794818,0.9990234375,1,0,1,0,0,0,0,0,0,0,0,0
0.30000000000000004,5.576721581043223,0.90234375,100,456,70,246,10,56,0,0,0,0,0,0
0.4,13.226839540608905,0.78515625,220,1428,79,348,27,174,5,49,0,0,0,0
0.5,13.260850898476214,0.4462890625,567,3938,147,700,60,397,16,133,1,21,0,0
0.6000000000000001,6.082175795748498,0.2724609375,745,5052,250,1250,105,710,15,147,0,0,0,0
0.7,5.429004978831101,0.15234375,868,6112,211,1086,99,676,26,212,1,5,0,0
0.8,8.460182974773996,0.0361328125,987,7400,75,378,40,257,22,153,7,52,1,7
0.2,11.489723030270055,0.935546875,66,360,39,156,9,62,0,0,0,0,0,0
0.30000000000000004,5.03669080924522,0.8486328125,155,690,113,406,14,75,0,0,0,0,0,0
0.4,8.552375896285678,0.73828125,268,1632,121,538,37,248,3,24,0,0,0,0
0.5,11.788343395642691,0.5888671875,421,2782,115,494,42,251,11,79,1,12,0,0
0.6000000000000001,7.137652351690377,0.2578125,760,5300,223,1132,83,599,20,171,1,11,0,0
0.7,6.7066844851099185,0.1162109375,905,6590,137,672,64,414,28,222,5,50,0,0
